Year-Month,start_date,end_date,AOV,number_of_orders,Swiggy Marketing %,Swiggy Total commission%,Loocos Recieved%,Loocos Amount,Marketing Charges,payout_date,Source File
2025-03,2025-03-23 15:29:07,2025-03-30 21:03:24,361.0,39,2.3%,28.39%,69.05%,14087.0,461.0,2025-04-04,invoice Annexure_708466_04042025_1743776579475.xlsx
2025-03,2025-03-16 16:22:41,2025-03-22 20:48:33,298.0,33,2.9%,29.41%,70.59%,9835.0,409.0,2025-03-26,invoice Annexure_708466_26032025_1742979027367.xlsx
2025-03,2025-03-09 11:15:55,2025-03-15 21:58:30,276.0,30,1.4%,25.29%,68.04%,8268.0,160.0,2025-03-19,invoice Annexure_708466_19032025_1742397952591.xlsx
2025-03,2025-03-01 12:25:58,2025-03-08 20:00:14,288.0,41,2.4%,28.98%,71.02%,11816.0,393.0,2025-03-12,invoice Annexure_708466_12032025_1741788487628.xlsx
2025-02,2025-02-23 16:14:36,2025-02-28 20:52:23,329.0,28,4.9%,31.33%,68.67%,9222.0,637.0,2025-03-05,invoice Annexure_708466_05032025_1741189432727.xlsx
2025-02,2025-02-16 12:08:55,2025-02-22 19:25:47,301.0,24,6.5%,33.12%,66.88%,7235.0,686.0,2025-02-26,invoice Annexure_708466_26022025_1740590459785.xlsx
2025-02,2025-02-09 14:40:24,2025-02-15 20:27:31,413.0,24,1.8%,30.14%,69.86%,9907.0,256.0,2025-02-20,invoice Annexure_708466_20022025_1740001854674.xlsx
2025-02,2025-02-01 15:38:41,2025-02-08 20:25:39,344.0,37,1.8%,27.33%,69.96%,12727.0,327.0,2025-02-12,invoice Annexure_708466_12022025_1739359066228.xlsx
2025-01,2025-01-26 11:04:17,2025-01-31 20:04:48,352.0,22,1.7%,27.15%,72.85%,7740.0,179.0,2025-02-05,invoice Annexure_708466_05022025_1738760130394.xlsx
2025-01,2025-01-19 11:35:51,2025-01-25 19:38:53,328.0,21,0.7%,25.26%,74.74%,6891.0,62.0,2025-01-29,invoice Annexure_708466_29012025_1738156578636.xlsx
2025-01,2025-01-12 12:43:56,2025-01-18 21:48:35,301.0,27,1.7%,26.81%,73.19%,8137.0,184.0,2025-01-22,invoice Annexure_708466_22012025_1737538308020.xlsx
2025-01,2025-01-05 18:16:20,2025-01-11 20:26:16,326.0,24,0.7%,26.18%,73.82%,7824.0,71.0,2025-01-15,invoice Annexure_708466_15012025_1736960236292.xlsx
2025-01,2025-01-01 13:07:45,2025-01-04 20:09:35,383.0,19,2.4%,30.56%,69.44%,7276.0,251.0,2025-01-08,invoice Annexure_708466_08012025_1736340075611.xlsx
2024-12,2024-12-29 19:02:16,2024-12-31 21:57:12,331.0,21,2.5%,29.01%,70.99%,6961.0,241.0,2025-01-04,invoice Annexure_708466_04012025_1735991041088.xlsx
2024-12,2024-12-22 12:04:44,2024-12-28 17:10:40,336.0,31,6.5%,34.67%,65.33%,10424.0,1009.0,2025-01-02,invoice Annexure_708466_02012025_1735829233383.xlsx
2024-12,2024-12-15 13:03:02,2024-12-21 16:47:15,392.0,23,6.8%,35.36%,64.64%,9009.0,909.0,2024-12-25,invoice Annexure_708466_25122024_1735148562916.xlsx
2024-12,2024-12-07 20:35:26,2024-12-14 21:31:41,332.0,28,5.9%,33.82%,66.18%,9285.0,837.0,2024-12-18,invoice Annexure_708466_18122024_1734525193164.xlsx
2024-12,2024-12-01 14:38:51,2024-12-07 20:09:45,364.0,35,3.2%,31.55%,68.45%,12737.0,591.0,2024-12-11,invoice Annexure_708466_11122024_1733915578204.xlsx
