Vendor_Name,Item_Name,UOM,Unit_Price,Date
MBS Traders,Salt,Pkt,12.0,2022-10-27
MBS Traders,plastic cover 5kg,Kg,170.0,2022-10-27
MBS Traders,Mustard-Oil,Ltr,220.0,2022-10-27
KTP Vegitables,Tomato,Kg,25.0,2022-10-27
KTP Vegitables,Green Chilly-Veg,Kg,50.0,2022-10-28
Local Purchase,Turmeric Powder,Pkt,20.0,2022-10-29
Local Purchase,Brush-Small,Nos,50.0,2022-10-30
Local Purchase,Dusting-cloth,Nos,40.0,2022-10-30
KTP Vegitables,cabbage-veg,Kg,26.0,2022-10-30
Local Purchase-Gas AGency,Gas-LPG-IOCL,Nos,1700.0,2022-10-31
MBS Traders,Palm Oil,Pkt,108.0,2022-10-31
MBS Traders,Mittai-Milk-Amul,Tin,60.0,2022-10-31
MBS Traders,milk-Milma-525ml,Pkt,25.0,2022-10-31
Loocos Pizza CPY,Palm Oil,Pkt,108.0,2022-10-31
Loocos Pizza CPY,Regular Pizza Box,Nos,9.85,2022-10-31
Loocos Pizza CPY,chilli flakes,Pkt,44.0,2022-10-31
Loocos Pizza CPY,French Fries 6mm-Hungritos,Kg,144.0,2022-10-31
Loocos Pizza CPY,G.Crown Mushroom Slice 800g,Nos,93.0,2022-10-31
Loocos Pizza CPY,Zippy Chicken Salami,Kg,354.0,2022-10-31
Loocos Pizza CPY,Sumeru Nuggets Premium 1Kg,Kg,278.0,2022-10-31
Loocos Pizza CPY,DVC Mint Flavoured Syrup 750 ml,Nos,437.0,2022-10-31
Loocos Pizza CPY,DVC BLUE OCCEAN FLV SYRUP 750ML,Nos,437.0,2022-10-31
Loocos Pizza CPY,DVC BLUE OCCEAN FLV SYRUP 750ML,Grams,0.58,2022-10-31
Loocos Pizza CPY,DVC Green Apple 750 ML,Nos,437.0,2022-10-31
Loocos Pizza CPY,Salt Powder,Kg,13.0,2022-10-31
Loocos Pizza CPY,Bornless Chicken- pattambi,Kg,260.0,2022-10-31
Loocos Pizza CPY,Zippy  B.Fast Sausage ,Kg,345.01,2022-10-31
Loocos Pizza CPY,Papper carry bag large,Nos,10.5,2022-10-31
Loocos Pizza CPY,CHILLY FLAKES SACHET 0.8GM,Nos,210.0,2022-10-31
Loocos Pizza CPY,OREGANO SACHET 0.8GM,Pkt,210.0,2022-10-31
Loocos Pizza CPY,Veeba T. Ketchup 1.2KG,Nos,98.0,2022-10-31
Loocos Pizza CPY,DVC PASSION FRUIT FLV SYRUP 750ML,Nos,437.0,2022-10-31
Loocos Pizza CPY,Mexican Masala,Kg,375.2,2022-10-31
Loocos Pizza CPY,BBQ Mix Masala,Kg,431.2,2022-10-31
Loocos Pizza CPY,Tandoori Masala,Kg,352.8,2022-10-31
Loocos Pizza CPY,Herb Mix Masla,Kg,414.4,2022-10-31
Loocos Pizza CPY,Pineapple slice-Tajir Habit-500g,Pkt,105.0,2022-10-31
Loocos Pizza CPY,Neo Red Paprika 3Kg,Nos,420.0,2022-10-31
Loocos Pizza CPY,Eastern Coriander 1KG,Kg,235.01,2022-10-31
Loocos Pizza CPY,Mini Burger Box,Nos,2.3,2022-10-31
Loocos Pizza CPY,Noor Jahan Rice 25kg,Kg,35.0,2022-10-31
Loocos Pizza CPY,Ice cube,Pkt,45.0,2022-10-31
Loocos Pizza CPY,Maida(Porotta 50kg),Kg,40.2,2022-10-31
Loocos Pizza CPY,Milk-Elanad-500ml,Ltr,50.0,2022-10-31
Loocos Pizza CPY,Cashew nut,Grams,0.8,2022-10-31
Loocos Pizza CPY,Tandoori Chicken Masala-Bakers,Pkt,75.0,2022-10-31
Loocos Pizza CPY,Curd-Elanad-500ml,Ltr,60.0,2022-10-31
Koonathil Traders,Sumeru Nuggets Premium 1Kg,Nos,278.0,2022-11-02
Koonathil Traders,Zippy Chicken Salami,Pkt,279.0,2022-11-02
Koonathil Traders,TAJIR JALAPENO SLICES 2.5 KG,Nos,285.0,2022-11-02
Koonathil Traders,Neo Red Paprika 3Kg,Nos,420.0,2022-11-02
Koonathil Traders,OREGANO SACHET 0.8GM,Pkt,210.0,2022-11-02
Koonathil Traders,CHILLY FLAKES SACHET 0.8GM,Nos,210.0,2022-11-02
Narayana Traders,Maida(Porotta 50kg),Nos,2010.0,2022-11-02
Lakhsyam Foods,Moktails Glass,Nos,8.97,2022-11-07
Lakhsyam Foods,Pizza Sauce Premix,Kg,283.5,2022-11-07
Lakhsyam Foods,Regular Pizza Box,Nos,9.85,2022-11-07
Lakhsyam Foods,Tandoori Masala,Kg,375.2,2022-11-07
Lakhsyam Foods,Tripod,Pkt,737.5,2022-11-07
Koonathil Traders,French Fries 9mm-Hungritos,Pkt,360.0,2022-11-08
Koonathil Traders,Sumeru Nuggets Premium 1Kg,Pkt,298.0,2022-11-19
Koonathil Traders,Veeba T. Ketchup 1.2KG,Nos,98.0,2022-11-19
Koonathil Traders,Flexi Cream Gold,Nos,195.0,2022-11-19
Koonathil Traders,Veeba Ketchup Sachet,Nos,0.8,2022-11-19
Koonathil Traders,AMUL Mozzarella Cheese Block 1Kg,Pkt,330.0,2022-11-19
Faisal Pattambi,Bornless Chicken- pattambi,Kg,258.0,2022-11-01
Faisal Pattambi,Bornless Chicken- pattambi,Kg,240.0,2022-11-12
Faisal Pattambi,Bornless Chicken- pattambi,Kg,250.0,2022-11-17
Faisal Pattambi,Bornless Chicken- pattambi,Kg,248.0,2022-11-20
Koonathil Traders,Frozen Sweet Corn,Nos,103.0,2022-11-26
Faisal Pattambi,Bornless Chicken- pattambi,Kg,244.0,2022-11-26
Loocos Pizza CPY,Atta Loose,Kg,38.33,2022-11-30
