Sales date,Amount,Cash Recieved Date,Deposits
2025-10-09,10583.0,,
2025-10-08,8440.0,,
2025-10-07,7000.0,,
2025-10-06,6797.0,,
2025-10-05,16807.0,,
2025-10-04,11781.0,,
2025-10-03,8026.0,,
2025-10-02,10724.0,,
2025-10-01,11135.0,,
2025-09-30,19392.0,,
2025-09-29,7693.0,,
2025-09-28,10183.0,,
2025-09-27,9372.0,,
2025-09-26,11211.0,,
2025-09-25,7451.0,,
2025-09-24,5655.0,,
2025-09-23,6016.0,,
2025-09-22,5026.0,,
2025-09-21,8796.0,,
2025-09-20,10086.0,,
2025-09-19,12946.0,,
2025-09-18,4116.0,,
2025-09-17,2146.0,,
2025-09-16,9164.0,,
2025-09-15,9172.0,,
2025-09-14,14481.0,,
2025-09-13,15740.0,,
2025-09-12,3577.0,,
2025-09-11,10812.0,,
2025-09-10,10415.0,,
2025-09-09,7244.0,,
2025-09-08,7665.0,,
2025-09-07,12267.0,,
2025-09-06,23528.0,,
2025-09-05,11481.0,,
2025-09-04,10620.0,,
2025-09-03,12511.0,,
2025-09-02,11231.0,,
2025-09-01,5544.0,,
2025-08-31,14846.0,,
2025-08-30,10434.0,,
2025-08-29,14780.0,,
2025-08-28,8647.0,,
2025-08-27,8673.0,,
2025-08-26,12959.0,,
2025-08-25,8521.0,,
2025-08-24,6476.0,,
2025-08-23,11907.0,,
2025-08-22,2355.0,,
2025-08-21,10045.0,,
2025-08-20,8905.0,,
2025-08-19,11511.0,,
2025-08-18,11516.0,,
2025-08-17,9602.0,,
2025-08-16,14806.0,,
2025-08-15,13774.0,,
2025-08-14,7728.0,,
2025-08-13,10711.0,,
2025-08-12,8773.0,,
2025-08-11,6489.0,,
2025-08-10,14428.0,,
2025-08-09,14321.0,,
2025-08-08,11123.0,,
2025-08-07,7957.0,,
2025-08-06,6643.0,,
2025-08-05,6318.0,,
2025-08-04,9896.0,,
2025-08-03,12560.0,,
2025-08-02,15178.0,,
2025-08-01,4590.0,,
2025-07-31,6707.0,,
2025-07-30,4537.0,,
2025-07-29,8583.0,,
2025-07-28,8926.0,,
2025-07-27,13561.0,,
2025-07-26,7987.0,,
2025-07-25,7317.0,,
2025-07-24,11309.0,,
2025-07-23,9000.0,,
2025-07-22,7141.0,,
2025-07-21,3363.0,,
2025-07-20,14694.0,,
2025-07-19,12376.0,,
2025-07-18,12554.0,,
2025-07-17,6323.0,,
2025-07-16,12172.0,,
2025-07-15,8351.0,,
2025-07-14,6706.0,,
2025-07-13,5837.0,,
2025-07-12,5752.0,,
2025-07-11,17469.0,,
2025-07-10,9164.0,,
2025-07-09,0.0,,
2025-07-08,10692.0,,
2025-07-07,6695.0,,
2025-07-06,13535.0,,
2025-07-05,17199.0,,
2025-07-04,8049.0,,
2025-07-03,10953.0,,
2025-07-02,8801.0,,
2025-07-01,7328.0,,
2025-06-30,5300.0,,
2025-06-29,11322.0,,
2025-06-28,12205.0,,
2025-06-27,4717.0,,
2025-06-26,8136.0,,
2025-06-25,5879.0,,
2025-06-24,8907.0,,
2025-06-23,3645.0,,
2025-06-22,9112.0,,
2025-06-21,12256.0,,
2025-06-20,7633.0,,
2025-06-19,1996.0,,
2025-06-18,6826.0,,
2025-06-17,5956.0,,
2025-06-16,9901.0,,
2025-06-15,8877.0,,
2025-06-14,8937.0,,
2025-06-13,8139.0,,
2025-06-12,12130.0,,
2025-06-11,10191.0,,
2025-06-10,12748.0,,
2025-06-09,5490.0,,
2025-06-08,9061.0,,
2025-06-07,17303.0,,
2025-06-06,8729.0,,
2025-06-05,5559.0,,
2025-06-04,6818.0,,
2025-06-03,8247.0,,
2025-06-02,5769.0,,
2025-06-01,9011.0,,
2025-05-31,11736.0,,
2025-05-30,10546.0,,
2025-05-29,13633.0,,
2025-05-28,9486.0,,
2025-05-27,5749.0,,
2025-05-26,5255.0,,
2025-05-25,6985.0,,
2025-05-24,8968.0,,
2025-05-23,3394.0,,
2025-05-22,11300.0,,
2025-05-21,11797.0,,
2025-05-20,3658.0,,
2025-05-19,5148.0,,
2025-05-18,9101.0,,
2025-05-17,7811.0,,
2025-05-16,5606.0,,
2025-05-15,9116.0,,
2025-05-14,12390.0,,
2025-05-13,11280.0,,
2025-05-12,10146.0,,
2025-05-11,9197.0,,
2025-05-10,14490.0,,
2025-05-09,9694.0,,
2025-05-08,8407.0,,
2025-05-07,10494.0,,
2025-05-06,8917.0,,
2025-05-05,14829.0,,
2025-05-04,9461.0,,
2025-05-03,19485.0,,
2025-05-02,11943.0,,
2025-05-01,10052.0,,
2025-04-30,10197.0,,
2025-04-29,9885.0,,
2025-04-28,10458.0,,
2025-04-27,15214.0,,
2025-04-26,9636.0,,
2025-04-25,7332.0,,
2025-04-24,6757.0,,
2025-04-23,5765.0,,
2025-04-22,4916.0,,
2025-04-21,5741.0,,
2025-04-20,14728.0,,
2025-04-19,8511.0,,
2025-04-18,12736.0,,
2025-04-17,13451.0,,
2025-04-16,9690.0,,
2025-04-15,13611.0,,
2025-04-14,12524.0,,
2025-04-13,14309.0,,
2025-04-12,13381.0,,
2025-04-11,12825.0,,
2025-04-10,6786.0,,
2025-04-09,5388.0,,
2025-04-08,7360.0,,
2025-04-07,8041.0,,
2025-04-06,7319.0,,
2025-04-05,10256.0,,
2025-04-04,8045.0,,
2025-04-03,9058.0,,
2025-04-02,13501.0,,
2025-04-01,14580.0,,
2025-03-31,15838.0,,
2025-03-30,16237.0,,
2025-03-29,9532.0,,
2025-03-28,6256.0,,
2025-03-27,5014.0,,
2025-03-26,3482.0,,
2025-03-25,5539.0,,
2025-03-24,7060.0,,
2025-03-23,5587.0,,
2025-03-22,7529.0,,
2025-03-21,6221.0,,
2025-03-20,10023.0,,
2025-03-19,6820.0,,
2025-03-18,5065.0,,
2025-03-17,1263.0,,
2025-03-16,7860.0,,
2025-03-15,7596.0,,
2025-03-14,5189.0,,
2025-03-13,7049.0,,
2025-03-12,1797.0,,
2025-03-11,4406.0,,
2025-03-10,6452.0,,
2025-03-09,8156.0,,
2025-03-08,7614.0,,
2025-03-07,4587.0,,
2025-03-06,3237.0,,
2025-03-05,4012.0,,
2025-03-04,4234.0,,
2025-03-03,8075.0,,
2025-03-02,8594.0,,
2025-03-01,13746.0,,
2025-02-28,4225.0,,
2025-02-27,10019.0,,
2025-02-26,3653.0,,
2025-02-25,6899.0,,
2025-02-24,4465.0,,
2025-02-23,12158.0,,
2025-02-22,13759.0,,
2025-02-21,9238.0,,
2025-02-20,2790.0,,
2025-02-19,12464.0,,
2025-02-18,5770.0,,
2025-02-17,10386.0,,
2025-02-16,7134.0,,
2025-02-15,8763.0,,
2025-02-14,3213.0,,
2025-02-13,6110.0,,
2025-02-12,4900.0,,
2025-02-11,5877.0,,
2025-02-10,4870.0,,
2025-02-09,6377.0,,
2025-02-08,12053.0,,
2025-02-07,7609.0,,
2025-02-06,10818.0,,
2025-02-05,9270.0,,
2025-02-04,7210.0,,
2025-02-03,9959.0,,
2025-02-02,6600.0,,
2025-02-01,10446.0,,
2025-01-31,5415.0,,
2025-01-30,6985.0,,
2025-01-29,2809.0,,
2025-01-28,5177.0,,
2025-01-27,7913.0,,
2025-01-26,15757.0,,
2025-01-25,9082.0,,
2025-01-24,7368.0,,
2025-01-23,8016.0,,
2025-01-22,9555.0,,
2025-01-21,9401.0,,
2025-01-20,3457.0,,
2025-01-19,7953.0,,
2025-01-18,15153.0,,
2025-01-17,13680.0,,
2025-01-16,7717.0,,
2025-01-15,2971.0,,
2025-01-14,7680.0,,
2025-01-13,4106.0,,
2025-01-12,9192.0,,
2025-01-11,12213.0,,
2025-01-10,5224.0,,
2025-01-09,6041.0,,
2025-01-08,10472.0,,
2025-01-07,4504.0,,
2025-01-06,9160.0,,
2025-01-05,14502.0,,
2025-01-04,11026.0,,
2025-01-03,10962.0,,
2025-01-02,8311.0,,
2024-11-02,9975.0,,
2024-10-27,9624.0,,
2024-10-02,8866.0,,
2024-09-19,8208.119999999999,,
2024-09-18,12636.789999999999,,
