Date,Item,Opening_stock,Closing_stock,Actual,Expected,Difference
2025-09-29,cheese,11650.0,9500.0,2150.0,2170.0,-20.0
2025-09-28,cheese,14700.0,11650.0,3050.0,3065.0,-15.0
2025-09-27,cheese,17150.0,14700.0,2450.0,2458.0,-8.0
2025-09-26,cheese,19550.0,17150.0,2400.0,2390.0,10.0
2025-09-25,cheese,21000.0,19550.0,1450.0,1435.0,15.0
2025-09-24,cheese,22200.0,21000.0,1200.0,1150.0,50.0
2025-09-23,cheese,23050.0,22200.0,850.0,895.0,-45.0
2025-09-22,cheese,24300.0,23050.0,1250.0,1245.0,5.0
2025-09-21,cheese,26680.0,24300.0,2380.0,2415.0,-35.0
2025-09-20,cheese,28700.0,26680.0,2020.0,2035.0,-15.0
2025-09-19,cheese,30600.0,28700.0,1900.0,1913.0,-13.0
2025-09-18,cheese,32350.0,30600.0,1750.0,1780.0,-30.0
2025-09-17,cheese,33100.0,32350.0,750.0,760.0,-10.0
2025-09-16,cheese,34900.0,33100.0,1800.0,1780.0,20.0
2025-09-15,cheese,12550.0,10900.0,1650.0,1655.0,-5.0
2025-09-14,cheese,14940.0,12550.0,2390.0,2345.0,45.0
2025-09-13,cheese,18000.0,14940.0,3060.0,3000.0,60.0
2025-09-12,cheese,18800.0,18000.0,800.0,785.0,15.0
2025-09-11,cheese,20450.0,18800.0,1650.0,1655.0,-5.0
2025-09-10,cheese,23000.0,20450.0,2550.0,2360.0,190.0
2025-09-09,cheese,25400.0,23000.0,2400.0,2308.0,92.0
2025-09-08,cheese,2850.0,1400.0,1450.0,1360.0,90.0
2025-09-07,cheese,5300.0,2850.0,2450.0,2415.0,35.0
2025-09-06,cheese,10050.0,5300.0,4750.0,4653.0,97.0
2025-09-05,cheese,13550.0,10050.0,3500.0,3440.0,60.0
2025-09-04,cheese,16200.0,13550.0,2650.0,2613.0,37.0
2025-09-03,cheese,19550.0,16200.0,3350.0,3373.0,-23.0
2025-09-02,cheese,21700.0,19550.0,2150.0,2153.0,-3.0
2025-09-01,cheese,23650.0,21700.0,1950.0,1975.0,-25.0
2025-08-31,cheese,27400.0,23650.0,3750.0,3785.0,-35.0
2025-08-30,cheese,29100.0,27400.0,1700.0,1680.0,20.0
2025-08-29,cheese,31650.0,29100.0,2550.0,2508.0,42.0
2025-08-28,cheese,33430.0,31650.0,1780.0,1755.0,25.0
2025-08-27,cheese,35300.0,33430.0,1870.0,1846.0,24.0
2025-08-26,cheese,37600.0,35300.0,2300.0,2345.0,-45.0
2025-08-25,cheese,15400.0,13600.0,1800.0,1780.0,20.0
2025-08-24,cheese,16900.0,15400.0,1500.0,1425.0,75.0
2025-08-23,cheese,19450.0,16900.0,2550.0,2525.0,25.0
2025-08-22,cheese,21150.0,19450.0,1700.0,1650.0,50.0
2025-08-21,cheese,23280.0,21150.0,2130.0,2085.0,45.0
2025-08-20,cheese,24780.0,23280.0,1500.0,1530.0,-30.0
2025-08-19,cheese,27500.0,24780.0,2720.0,2740.0,-20.0
2025-08-18,cheese,17950.0,15500.0,2450.0,2460.0,-10.0
2025-08-17,cheese,20300.0,17950.0,2350.0,2313.0,37.0
2025-08-16,cheese,23200.0,20300.0,2900.0,2870.0,30.0
2025-08-15,cheese,26150.0,23200.0,2950.0,2890.0,60.0
2025-08-14,cheese,28225.0,26150.0,2075.0,2035.0,40.0
2025-08-13,cheese,30450.0,28225.0,2225.0,2175.0,50.0
2025-08-12,cheese,31850.0,30450.0,1400.0,1380.0,20.0
2025-08-11,cheese,21600.0,19850.0,1750.0,1728.0,22.0
2025-08-10,cheese,24500.0,21600.0,2900.0,2815.0,85.0
2025-08-09,cheese,28000.0,24500.0,3500.0,3493.0,7.0
2025-08-08,cheese,29500.0,28000.0,1500.0,1490.0,10.0
2025-08-07,cheese,31250.0,29500.0,1750.0,1735.0,15.0
2025-08-06,cheese,33350.0,31250.0,2100.0,2130.0,-30.0
2025-08-05,cheese,34900.0,33350.0,1550.0,1503.0,47.0
2025-08-04,cheese,13075.0,10900.0,2175.0,2200.0,-25.0
2025-08-03,cheese,14850.0,13075.0,1775.0,1800.0,-25.0
2025-08-02,cheese,18400.0,14850.0,3550.0,3595.0,-45.0
2025-08-01,cheese,19750.0,18400.0,1350.0,1335.0,15.0
2025-07-31,cheese,21150.0,19750.0,1400.0,1410.0,-10.0
2025-07-30,cheese,22300.0,21150.0,1150.0,1115.0,35.0
2025-07-29,cheese,24500.0,22300.0,2200.0,2160.0,40.0
2025-07-28,cheese,14800.0,12500.0,2300.0,965.0,1335.0
2025-07-27,cheese,16300.0,14800.0,1500.0,415.0,1085.0
2025-07-26,cheese,19700.0,16300.0,3400.0,1090.0,2310.0
2025-07-25,cheese,21050.0,19700.0,1350.0,1355.0,-5.0
2025-07-24,cheese,22900.0,21050.0,1850.0,1900.0,-50.0
2025-07-23,cheese,24480.0,22900.0,1580.0,1555.0,25.0
2025-07-22,cheese,26000.0,24480.0,1520.0,1555.0,-35.0
2025-07-21,cheese,15700.0,14000.0,1700.0,1750.0,-50.0
2025-07-20,cheese,19600.0,15700.0,3900.0,3920.0,-20.0
2025-07-19,cheese,22400.0,19600.0,2800.0,2766.0,34.0
2025-07-18,cheese,24700.0,22400.0,2300.0,2290.0,10.0
2025-07-17,cheese,26050.0,24700.0,1350.0,1348.0,2.0
2025-07-16,cheese,28400.0,26050.0,2350.0,2315.0,35.0
2025-07-15,cheese,30000.0,28400.0,1600.0,1570.0,30.0
2025-07-14,cheese,7950.0,6000.0,1950.0,1850.0,100.0
2025-07-13,cheese,9600.0,7950.0,1650.0,1645.0,5.0
2025-07-12,cheese,12100.0,9600.0,2500.0,2450.0,50.0
2025-07-11,cheese,16200.0,12100.0,4100.0,4058.0,42.0
2025-07-10,cheese,18350.0,16200.0,2150.0,2105.0,45.0
2025-07-09,cheese,18350.0,18350.0,0.0,0.0,0.0
2025-07-08,cheese,21200.0,18350.0,2850.0,2798.0,52.0
2025-07-07,cheese,22750.0,21200.0,1550.0,1505.0,45.0
2025-07-06,cheese,25300.0,22750.0,2550.0,2445.0,105.0
2025-07-05,cheese,28100.0,25300.0,2800.0,2798.0,2.0
2025-07-04,cheese,30000.0,28100.0,1900.0,1775.0,125.0
2025-07-03,cheese,32200.000000000004,30000.0,2200.0,2118.0,82.0
2025-07-02,cheese,34100.0,32200.000000000004,1900.0,1830.0,70.0
2025-07-01,cheese,35500.0,34100.0,1400.0,1360.0,40.0
2025-06-30,cheese,12350.0,11500.0,850.0,865.0,-15.0
2025-06-29,cheese,14700.0,12350.0,2350.0,2280.0,70.0
2025-06-28,cheese,17650.0,14700.0,2950.0,2935.0,15.0
2025-06-27,cheese,18700.0,17650.0,1050.0,990.0,60.0
2025-06-26,cheese,20400.0,18700.0,1700.0,1695.0,5.0
2025-06-25,cheese,21700.0,20400.0,1300.0,1260.0,40.0
2025-06-24,cheese,23550.0,21700.0,1850.0,1830.0,20.0
2025-06-23,cheese,24400.0,23550.0,850.0,800.0,50.0
2025-06-22,cheese,26750.0,24400.0,2350.0,2300.0,50.0
2025-06-21,cheese,29080.0,26750.0,2330.0,2355.0,-25.0
2025-06-20,cheese,30700.0,29080.0,1620.0,1675.0,-55.0
2025-06-19,cheese,31500.0,30700.0,800.0,775.0,25.0
2025-06-18,cheese,33100.0,31500.0,1600.0,1605.0,-5.0
2025-06-17,cheese,34270.0,33100.0,1170.0,1180.0,-10.0
2025-06-16,cheese,12550.0,10270.0,2280.0,2375.0,-95.0
2025-06-15,cheese,14500.0,12550.0,1950.0,1931.0,19.0
2025-06-14,cheese,16000.0,14500.0,1500.0,1525.0,-25.0
2025-06-14,cheese,16000.0,14500.0,1500.0,1525.0,-25.0
2025-06-14,cheese,16000.0,14500.0,1500.0,1525.0,-25.0
2025-06-13,cheese,17700.0,16000.0,1700.0,1665.0,35.0
2025-06-12,cheese,19500.0,17700.0,1800.0,1810.0,-10.0
2025-06-11,cheese,21350.0,19500.0,1850.0,1785.0,65.0
2025-06-10,cheese,23400.0,21350.0,2050.0,2040.0,10.0
2025-06-09,cheese,24900.0,23400.0,1500.0,1480.0,20.0
2025-06-08,cheese,27000.0,24900.0,2100.0,2105.0,-5.0
2025-06-07,cheese,30650.0,27000.0,3650.0,3745.0,-95.0
2025-06-06,cheese,32299.999999999996,30650.0,1650.0,1630.0,20.0
