YEAR_MONTH,Order_Date,Aggregator_Order_No,Order_From,Order_Type,My_Amount,Aggregator_Discount,Outlet_Discount,Delivery_Charges,Container_Charges,Additional_Charge,Total,Cancelled_By
2026-01,2026-01-16 20:52:54,227546552199273,Swiggy,Delivery,545.0,0.0,0.0,0.0,0.0,0.0,572.25,
2026-01,2026-01-16 19:43:28,227542324550000,Swiggy,Delivery,225.0,0.0,0.0,0.0,0.0,0.0,236.25,
2026-01,2026-01-16 17:13:33,227533397867776,Swiggy,Delivery,435.0,0.0,0.0,0.0,0.0,0.0,456.75,
2026-01,2026-01-16 17:11:46,227533303526437,Swiggy,Delivery,550.0,0.0,0.0,0.0,0.0,0.0,577.5,
2026-01,2026-01-16 16:09:48,227529587498055,Swiggy,Delivery,375.0,0.0,0.0,0.0,0.0,0.0,393.75,
2026-01,2026-01-16 16:03:41,227529197766634,Swiggy,Delivery,385.0,0.0,0.0,0.0,0.0,0.0,404.25,
2026-01,2026-01-16 11:56:33,227514392669097,Swiggy,Delivery,275.0,0.0,0.0,0.0,0.0,0.0,288.75,
2026-01,2026-01-17 16:03:40,227615604261798,Swiggy,Delivery,215.0,0.0,0.0,0.0,0.0,0.0,225.75,
2026-01,2026-01-18 14:39:48,227696987365310,Swiggy,Delivery,275.0,0.0,0.0,0.0,0.0,0.0,288.75,
2026-01,2026-01-18 14:25:14,227696078597369,Swiggy,Delivery,684.0,0.0,0.0,0.0,0.0,0.0,718.2,
2026-01,2026-01-19 14:44:33,227783671290752,Swiggy,Delivery,539.0,0.0,0.0,0.0,0.0,0.0,565.95,
2026-01,2026-01-19 12:44:13,227776429125821,Swiggy,Delivery,610.0,0.0,0.0,0.0,0.0,0.0,640.5,
2026-01,2026-01-20 19:29:57,227887196871040,Swiggy,Delivery,320.0,0.0,0.0,0.0,0.0,0.0,336.0,
2026-01,2026-01-20 16:29:49,227876368494861,Swiggy,Delivery,565.0,0.0,0.0,0.0,0.0,0.0,593.25,
2026-01,2026-01-20 11:44:12,227859136607108,Swiggy,Delivery,275.0,0.0,0.0,0.0,0.0,0.0,288.75,
2026-01,2026-01-21 21:12:04,227979709391035,Swiggy,Delivery,420.0,0.0,0.0,0.0,0.0,0.0,441.0,
2026-01,2026-01-21 20:57:22,227978793176084,Swiggy,Delivery,325.0,0.0,0.0,0.0,0.0,0.0,341.25,
2026-01,2026-01-21 20:19:15,227976540248444,Swiggy,Delivery,584.0,0.0,0.0,0.0,0.0,0.0,613.2,
2026-01,2026-01-21 20:09:56,227975973322088,Swiggy,Delivery,515.0,0.0,0.0,0.0,0.0,0.0,540.75,
2026-01,2026-01-21 19:30:10,227973609559318,Swiggy,Delivery,760.0,0.0,0.0,0.0,0.0,0.0,798.0,
2026-01,2026-01-21 16:08:25,227961485689669,Swiggy,Delivery,225.0,0.0,0.0,0.0,0.0,0.0,236.25,
2026-01,2026-01-21 11:26:38,227944580071497,Swiggy,Delivery,1350.0,0.0,0.0,0.0,0.0,0.0,1417.5,
2026-01,2026-01-22 21:42:32,228067916463662,Swiggy,Delivery,504.0,0.0,0.0,0.0,0.0,0.0,529.2,
2026-01,2026-01-22 21:42:07,228067677082682,Swiggy,Delivery,615.0,0.0,0.0,0.0,0.0,0.0,645.75,
2026-01,2026-01-22 18:14:19,228055434777820,Swiggy,Delivery,335.0,0.0,0.0,0.0,0.0,0.0,351.75,
2026-01,2026-01-22 18:08:19,228055081699880,Swiggy,Delivery,275.0,0.0,0.0,0.0,0.0,0.0,288.75,
2026-01,2026-01-22 15:19:11,228044937316166,Swiggy,Delivery,680.0,0.0,0.0,0.0,0.0,0.0,714.0,
2026-01,2026-01-22 14:01:00,228040248068708,Swiggy,Delivery,275.0,0.0,0.0,0.0,0.0,0.0,288.75,
2026-01,2026-01-23 20:28:44,228149908775717,Swiggy,Delivery,295.0,0.0,0.0,0.0,0.0,0.0,309.75,
2026-01,2026-01-23 18:52:01,228144057692020,Swiggy,Delivery,895.0,0.0,0.0,0.0,0.0,0.0,939.75,
2026-01,2026-01-23 16:07:59,228134263862006,Swiggy,Delivery,335.0,0.0,0.0,0.0,0.0,0.0,351.75,
2026-01,2026-01-25 21:03:42,228324805311042,Swiggy,Delivery,404.0,0.0,0.0,0.0,0.0,0.0,424.2,
2026-01,2026-01-25 20:42:04,228323523443803,Swiggy,Delivery,395.0,0.0,0.0,0.0,0.0,0.0,414.75,
2026-01,2026-01-25 19:36:10,228319537227021,Swiggy,Delivery,970.0,0.0,0.0,0.0,0.0,0.0,1018.5,
2026-01,2026-01-25 19:20:28,228318581685306,Swiggy,Delivery,670.0,0.0,0.0,0.0,0.0,0.0,703.5,
2026-01,2026-01-25 15:28:55,228304733334575,Swiggy,Delivery,725.0,0.0,0.0,0.0,0.0,0.0,761.25,
2026-01,2026-01-26 20:44:52,228410077453050,Swiggy,Delivery,600.0,0.0,0.0,0.0,0.0,0.0,630.0,
2026-01,2026-01-26 18:13:49,228401014655732,Swiggy,Delivery,900.0,0.0,0.0,0.0,0.0,0.0,945.0,
2026-01,2026-01-26 17:11:19,228397277543362,Swiggy,Delivery,275.0,0.0,0.0,0.0,0.0,0.0,288.75,
2026-01,2026-01-26 16:00:03,228393002435077,Swiggy,Delivery,505.0,0.0,0.0,0.0,0.0,0.0,530.25,
2026-01,2026-01-26 13:13:53,228383014958873,Swiggy,Delivery,515.0,0.0,0.0,0.0,0.0,0.0,540.75,
2026-01,2026-01-26 11:22:20,228376306961474,Swiggy,Delivery,795.0,0.0,0.0,0.0,0.0,0.0,834.75,
2026-01,2026-01-27 12:14:08,228465846697606,Swiggy,Delivery,515.0,0.0,0.0,0.0,0.0,0.0,540.75,
2026-01,2026-01-28 20:30:27,228582014285276,Swiggy,Delivery,395.0,0.0,0.0,0.0,0.0,0.0,414.75,
2026-01,2026-01-28 16:14:18,228566644297510,Swiggy,Delivery,780.0,0.0,0.0,0.0,0.0,0.0,819.0,
2026-01,2026-01-28 12:59:45,228554932525780,Swiggy,Delivery,550.0,0.0,0.0,0.0,0.0,0.0,577.5,
2026-01,2026-01-29 20:13:54,228667433540558,Swiggy,Delivery,545.0,0.0,0.0,0.0,0.0,0.0,572.25,
2026-01,2026-01-29 19:46:43,228665782844207,Swiggy,Delivery,949.0,0.0,0.0,0.0,0.0,0.0,996.45,
2026-01,2026-01-30 21:50:19,228759595928217,Swiggy,Delivery,610.0,0.0,0.0,0.0,0.0,0.0,640.5,
2026-01,2026-01-30 21:25:16,228758100597976,Swiggy,Delivery,325.0,0.0,0.0,0.0,0.0,0.0,341.25,
2026-01,2026-01-30 19:33:47,228751368306177,Swiggy,Delivery,620.0,0.0,0.0,0.0,0.0,0.0,651.0,
2026-01,2026-01-30 19:09:31,228749969817600,Swiggy,Delivery,820.0,0.0,0.0,0.0,0.0,0.0,861.0,
2026-01,2026-01-30 12:50:53,228727232911630,Swiggy,Delivery,755.0,0.0,0.0,0.0,0.0,0.0,792.75,
2026-01,2026-01-30 11:36:19,228722758470049,Swiggy,Delivery,325.0,0.0,0.0,0.0,0.0,0.0,341.25,
2026-01,2026-01-31 21:39:44,228845367837974,Swiggy,Delivery,370.0,0.0,0.0,0.0,0.0,0.0,388.5,
2026-01,2026-01-31 18:55:29,228835506810378,Swiggy,Delivery,225.0,0.0,0.0,0.0,0.0,0.0,236.25,
2026-01,2026-01-31 18:00:24,228832209241271,Swiggy,Delivery,305.0,0.0,0.0,0.0,0.0,0.0,320.25,
2026-01,2026-01-31 16:42:10,228827508326047,Swiggy,Delivery,275.0,0.0,0.0,0.0,0.0,0.0,288.75,
2026-01,2026-01-31 11:50:27,228810000532040,Swiggy,Delivery,670.0,0.0,0.0,0.0,0.0,0.0,703.5,Thirdparty
